Accession number	Publication number
BD092058	WO 2000078987-A/39
BD092059	WO 2000078987-A/40
BD092060	WO 2000078987-A/41
BD092061	WO 2000078987-A/42
BD092062	WO 2000078987-A/43
BD092063	WO 2000078987-A/44
BD092064	WO 2000078987-A/45
BD092065	WO 2000078987-A/46
BD092066	WO 2000078987-A/47
BD092067	WO 2000078987-A/48
BD092068	WO 2000078987-A/49
BD092069	WO 2000078987-A/50
BD092070	WO 2000078987-A/51
BD092071	WO 2000078987-A/52
BD092072	WO 2000078987-A/53
BD092073	WO 2000078987-A/54
BD092074	WO 2000078987-A/55
BD092075	WO 2000078987-A/56
BD092076	WO 2000078987-A/57
BD092077	WO 2000078987-A/58
BD092078	WO 2000078987-A/59
BD092079	WO 2000078987-A/60
BD092080	WO 2000078987-A/61
BD092081	WO 2000078987-A/62
BD092082	WO 2000078987-A/63
BD092083	WO 2000078987-A/64
BD092084	WO 2000078987-A/65
BD092085	WO 2000078987-A/66
BD092086	WO 2000078987-A/67
BD092087	WO 2000078987-A/68
BD092088	WO 2000078987-A/69
BD092089	WO 2000078987-A/70
BD092090	WO 2000078987-A/71
BD092091	WO 2000078987-A/72
BD092092	WO 2000078987-A/73
BD092093	WO 2000078987-A/74
BD092094	WO 2000078987-A/75
BD092095	WO 2000078987-A/76
BD092096	WO 2000077231-A/1
BD092097	WO 2000077231-A/2
BD092098	WO 2000077231-A/3
BD092099	WO 2000077231-A/4
BD092100	WO 2000077231-A/5
BD092101	WO 2000077231-A/6
